username,is active,followers in list,weight,
BlueWolfNFTs,1,6,0.199152542,
CoinLiquidity,1,5,0.165960452,
kriptomete_,1,5,0.165960452,
rick_shares,1,5,0.165960452,
KeatlyKHZ,1,5,0.165960452,
rosauce39,1,5,0.165960452,
CopperHQ,1,4,0.132768362,
cryptosanthoshK,1,4,0.132768362,
Cryptoo_Gems,1,4,0.132768362,
chain_broker,1,4,0.132768362,
Robin25461631,1,4,0.132768362,
BabblerBestBets,1,4,0.132768362,
heroman0x,1,4,0.132768362,
linity_com,1,3,0.099576271,
DeepFakeAI_,1,3,0.099576271,
borsaressami,1,3,0.099576271,
NFTLunatic,1,3,0.099576271,
polkaguy,1,3,0.099576271,
Phyrex_Ni,1,3,0.099576271,
MattBroniarek,1,3,0.099576271,
TCVNcommunity,1,3,0.099576271,
ustadsplinter34,1,3,0.099576271,
InvestingNate,1,3,0.099576271,
esper1971,1,3,0.099576271,
0000ALCI,1,3,0.099576271,
Module8514,1,3,0.099576271,
cihan0xeth,1,2,0.066384181,
LordBadshot,1,2,0.066384181,
dippy_eth,1,2,0.066384181,
m2globalmoney,1,2,0.066384181,
BTCmask_AI,1,2,0.066384181,
trish_regan,1,2,0.066384181,
BGameAlliance,1,2,0.066384181,
Suleman72514927,1,2,0.066384181,
rogermoonCrypto,1,2,0.066384181,
0xrodrigorom,1,2,0.066384181,
Danny_Crypton,1,2,0.066384181,
MaxCryptoSpace,1,2,0.066384181,
minjung315,1,2,0.066384181,
greencandle5,1,2,0.066384181,
coinagend,1,1,0.03319209,
CryptoFuegoYT,1,1,0.03319209,
Crypto_Blueboy,1,1,0.03319209,
AndreaCapellin4,1,1,0.03319209,
Maximize_AI,1,1,0.03319209,
pedro_silvapt,1,1,0.03319209,
Carloxir,1,1,0.03319209,
Presto_Research,1,1,0.03319209,
shafaq39,1,1,0.03319209,
Agent_T_A_O_S,1,1,0.03319209,
drocksAlexx2,1,0,0,
wolftensor,0,,0,This account doesn’t exist
thegrizzlytorso,0,,0,This account doesn’t exist
KakiKripto,1,0,0,
Vagospi06,0,,0,Account suspended
plexaibt_,1,0,0,
NadinNumberOne_,1,0,0,
Simulacra333,1,0,0,
0xbeinginvested,1,0,0,
RyanBequette,0,,0,This account doesn’t exist
StudentBodyPres,1,0,0,
cryptosplashbro,1,0,0,
0xSkol,0,,0,This account doesn’t exist
LarrytheTyrant,1,0,0,
djmusicmaxx,1,0,0,
zannyABS,1,0,0,
Polkadot_ERI,1,0,0,
