id,display name,username,weight,num_tweets,engagement
1056304242812743680,,DreadBong0,14.83117786,16,1618931
1648999932,,JosephJacks_,10.74364804,22,767274
958118843636854784,,AltcoinDaily,6.57182997,2,915617
11392102,,markjeffrey,6.546586013,14,444381
749964034909278208,,Carloxir,4.423756506,7,396116
1299523632868110338,,0xPrismatic,4.160917527,6,395332
396045469,,BarrySilbert,4.024796764,2,530560
3322996666,,DrocksAlex2,4.019203806,9,257053
1405656630872662019,,opentensor,3.322216749,5,307490
1460252469745782790,,Defi0xJeff,3.280030643,4,340064
1626325301432135684,,const_reborn,3.242467634,6,256482
913744615,,rob_svrn,3.028577944,2,379953
499255726,,qBitTensor,2.574194378,5,194405
215615595,,SiamKidd,2.444081003,6,135783
1165520764201656320,,flickyobean,2.437693033,8,56914
1786390915,,here4impact,2.422254917,5,171435
1795904642922016768,,BittensorIntern,2.233605742,7,65012
757611408,,MylesMcNulty,2.228885249,6,103250
1899811098011865088,,simplytao_,2.039615441,2,230443
504826591,,KeithSingery,1.820042584,4,119345
1530428929021988864,,CryptoZPunisher,1.813848837,5,79457
906230721513181184,,coinbureau,1.767099168,1,228196
1489737129546551296,,hyperlane,1.733961387,3,145283
1447895548363747333,,Phonger24,1.718630355,5,65062
4895743563,,FortKnoxCrypto,1.67015847,2,174589
223921570,,S4mmyEth,1.645408691,1,209799
67469426,,dotkrueger,1.592673976,2,162875
1904563934457151488,,yanez__ai,1.57224062,5,42931
1747737231916240896,,CreatorBid,1.547713919,2,156078
1847974798040985600,,taoinsider,1.538638562,2,154706
412587524,,MessariCrypto,1.504548839,1,188504
1440493422947622913,,pgpsam,1.477648712,3,106534
710127308443529216,,TAOTemplar,1.447615617,4,63042
1516709193742536707,,NATIXNetwork,1.396852653,2,133271
1639429440680624130,,inference_labs,1.384889072,1,170414
1362626253610770432,,bittingthembits,1.365657769,2,128555
76934637,,TaoIsTheKey,1.355029782,4,49045
1796385365978177536,,bittensorai,1.347835394,3,86909
1876342133193682944,,_taofi_,1.247129114,2,110636
942793590715142144,,jkrdoc,1.237961152,2,109250
2245755716,,drocksAlexx2,1.226857482,1,146523
1311393885806100481,,gmoneyNFT,1.187740019,3,62706
1838738753923485696,,axionyu,1.187248136,4,23680
1586809145042374657,,Victor_crypto_,1.137501439,3,55111
1410787559467151363,,GeckoTerminal,1.123555847,1,130906
759065038405636096,,bittensor_,1.117320015,3,52060
59989980,,Degen_Hardy,1.099246856,1,127231
897485079068495873,,mxmsbt,1.074935469,2,84604
1061595929189314560,,ch_egan,1.069491578,2,83781
1155762475582787584,,RvCrypto,1.060952012,2,82490
1764410143217700864,,MacrocosmosAI,1.011328597,2,74988
1921981220243832833,,taoapp_,0.9983331248,1,111975
1841514180517728256,,CrucibleLabs,0.9676806451,1,107341
1708686339455991808,,AutoppiaAI,0.956893906,3,27807
8287602,,jaltucher,0.9529076432,2,66156
2436422761,,DistStateAndMe,0.9472851556,2,65306
1772695420109484032,,mentatminds,0.9403373335,3,25304
1008649805093064704,,wolftensor,0.9147541035,2,60388
1528379203531440130,,raintures,0.9053239498,1,97914
1849591551699070976,,YumaGroup,0.8939972021,2,57250
1223756024617873408,,LukitaTao,0.8849260641,3,16927
1682112942353907714,,King_69NFT,0.8790503958,1,93942
586325060,,nicrypto,0.8656688752,1,91919
2648357839,,fundstrat,0.8451699467,1,88820
1899844700825333760,,Victor_crypto_2,0.8112804868,2,44745
2590678590,,the_mattyk,0.7992285192,2,42923
1898751706433040384,,TaoPortal,0.7990102343,2,42890
1274730796390154241,,TalkingTensor,0.7950348048,2,42289
1662961018199330823,,DeepFakeAI_,0.7908964042,1,80615
1257659599810953218,,CoinLiquidity,0.7879396372,1,80168
14975417,,mogmachine,0.7807735303,2,40133
1084397942319054850,,Route2FI,0.7770452405,1,78521
2800345565,,Grayscale,0.7674142499,1,77065
2392484990,,degenrsc,0.7656282832,1,76795
896056375,,JohnnyZcash,0.7493230691,1,74330
851065582610808832,,CipherResearchx,0.7382831492,1,72661
1169201028308168704,,cryptoboys27,0.7376457427,2,33613
1360925036576714752,,kriptomete_,0.7302661433,1,71449
1544044068413521922,,cryptosanthoshK,0.7302264552,1,71443
1041363494740877312,,PrudentSammy,0.692039842,1,65670
1334140743590555656,,KryptoInsider1,0.6794123962,1,63761
4508010263,,borsaressami,0.6763034913,1,63291
4794804223,,NFTLunatic,0.6629261892,2,22317
1893876982666211328,,DannyRose143,0.6584281991,2,21637
1178820758786756614,,tseutseutao,0.6560535249,2,21278
1879471914965766144,,BackpropFinance,0.649022108,2,20215
3491118197,,thegrizzlytorso,0.6347806776,2,18062
1454296406328365064,,SubnetSummerT,0.6312550471,2,17529
356999123,,LordBadshot,0.6283975004,2,17097
1419111693112676353,,getmasafi,0.6249073395,1,55521
1644144309627760640,,coinagend,0.6216661408,1,55031
1266599278195048449,,decodejar,0.6102690276,1,53308
3222562058,,TedPillows,0.6005454313,1,51838
103468877,,zero_chance009,0.5958466043,2,12176
47991533,,ExponentialReed,0.5934917742,2,11820
1861989475326259200,,shugoio,0.5891062338,2,11157
