id,display name,username,weight,num_tweets,engagement
1058015001334685696,,dcommunity_main,0.2531341518,1,18196
1457964520282853377,,subwalletapp,0.2528406577,1,18140
1232606202774917125,,v_truba,0.2515251756,1,17889
1601234723807830016,,404gen_,0.2507914405,1,17749
1791413618413641728,,joa_ni,0.2503249946,1,17660
2884956433,,GemListings,0.2486793317,1,17346
1937405751561003008,,SwarmSubnet,0.2483963196,1,17292
1343513204694069249,,RRenftle,0.2462946927,1,16891
1917326607519293440,,Z4Cdreams,0.2459592709,1,16827
893306219091374080,,Altcoinbuzzio,0.2437685477,1,16409
1391168874104696833,,Kaloh_nft,0.243716138,1,16399
1784706396816306176,,Suo69420,0.2428042101,1,16225
1171070902349520902,,kelxyz_,0.2421857763,1,16107
1037045241084342272,,Delphi_Digital,0.2413262581,1,15943
1691401945884278784,,aicryptopattern,0.2407130652,1,15826
1725097313402564608,,oct_trades,0.2405296314,1,15791
2803852087,,DCGco,0.2393504143,1,15566
1399308311619637250,,jasminervaa,0.2387581853,1,15453
1705960769089585153,,HodleMartin,0.2380192093,1,15312
1748721804925952000,,NuanceSubnet,0.2373745706,1,15189
911358814364033025,,Roobysix,0.2373640887,1,15187
1516459365108224006,,Inv3stInPassive,0.2373274019,1,15180
1130774555490828288,,tmel0211,0.2363473415,1,14993
4794804223,,NFTLunatic,0.2363001728,1,14984
1920894542238412800,,v_for_virtuals,0.2348641484,1,14710
1371830059410075650,,op_ambassadors,0.2341723411,1,14578
1517511758776344576,,ProfFahdKhan,0.2333285457,1,14417
907868791354175489,,btcrenaissance,0.2326629432,1,14290
1704609380874719232,,JohncyCrypto,0.2322751118,1,14216
335622250,,StewStoop,0.2317248105,1,14111
1358511532590702592,,TraderEthem,0.231651437,1,14097
1914674712480813056,,TensorPulseLabs,0.2316199912,1,14091
1559561858943799297,,dee_jun1or,0.2300267379,1,13787
1175974820858798083,,bloomberg_seth,0.2298380632,1,13751
1058447544416718848,,_obojr,0.229722762,1,13729
1944615205125664768,,TheTaoPod,0.2290624004,1,13603
1733229487548989440,,namoray_dev,0.2277154724,1,13346
19777264,,mikewchan,0.2269293277,1,13196
1804138165587836929,,sportstensor,0.2252207732,1,12870
1628662304752668672,,Vader_XFINANCE,0.2249692069,1,12822
912442311543595008,,lukecannon727,0.224198785,1,12675
1505498855177166850,,soulreapeeer,0.2241096886,1,12658
631365990,,DeaconFrost6,0.2240205922,1,12641
1783129296107679744,,WenTV_io,0.2233392668,1,12511
3304956474,,gylestensora,0.2232920981,1,12502
1441230215988998147,,Qubic_Magazine,0.2232082427,1,12486
2803216711,,BlueWolfNFTs,0.2221757726,1,12289
453506680,,InvestorJordann,0.2209598688,1,12057
1119510135334944769,,Toni_Bitcoin,0.2202837843,1,11928
1851026184538136576,,OAK_Res_EN,0.2199640855,1,11867
1391102593477320705,,DynamoDeFi,0.2199064349,1,11856
1343633564697579523,,Daanwood,0.2194871577,1,11776
3067385286,,A_CryptoG33,0.218842519,1,11653
724276852924272640,,PostyXBT,0.218245049,1,11539
1839042402851377152,,bd_himes,0.2177419164,1,11443
1889050588693868544,,Pressure_404,0.2168823982,1,11279
956821015,,benzion_b,0.2164054704,1,11188
